ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU21,AU23,AU24,AU26,AU28,AU43
0X8NGC8QN,0.26287338,0.38588768,0.6852483,0.38456836,0.22160934,0.3,0.28207058,0.2631992,0.23,0.1575717,0.5770846,0.12580056,0.31814682,0.99,0.50596064,0.3326322,0.12661399,0.2850631,0.2411424,0.12395054
1NJLT6R0R,0.32076943,0.48373783,0.65512174,0.3377978,0.18068923,0.07017544,0.18305953,0.11696843,0.3508772,0.072869845,0.3617508,0.2918969,0.46073884,0.5964912,0.63357335,0.6375048,0.035789892,0.07657807,0.22015746,0.116477996
25NO5Y3UO,0.43341345,0.2793533,0.184548,0.31681308,0.068146065,0.027777778,0.10588056,0.036245555,0.9722222,0.045540858,0.38823137,0.27882543,0.38995898,0.0,0.5587015,0.74536014,0.09172117,0.1955971,0.21007788,0.10684207
2YD6ICARM,0.44719645,0.24761003,0.37979802,0.34033516,0.07599013,0.04225352,0.11460042,0.13596998,0.5633803,0.08091199,0.2102047,0.29244554,0.27454072,0.014084507,0.52738404,0.4676578,0.041993164,0.42005315,0.69278014,0.078695334
3H7H10PNB,0.4638721,0.3423773,0.3029438,0.3809093,0.053503376,0.016129032,0.08756408,0.26879928,0.9354839,0.036778513,0.32251224,0.27618685,0.30985013,0.0,0.4283398,0.56441426,0.008403068,0.28186384,0.23404755,0.063719586
3XIQKOO28,0.2567615,0.2798393,0.18977305,0.3585608,0.07559498,0.018867925,0.099297,0.16872482,0.6037736,0.04798774,0.47118285,0.24180643,0.32374284,0.2264151,0.4816107,0.68778753,0.15672486,0.13253887,0.083172016,0.044721015
4ET9K2VU1,0.3514641,0.24216338,0.14541201,0.34078395,0.07816034,0.20786516,0.13974208,0.09266345,0.6516854,0.056257796,0.2643453,0.3521012,0.3925446,0.0,0.4377628,0.23105094,0.6758936,0.39339593,0.16152929,0.11050202
502U2WH8D,0.3251664,0.16047238,0.27763277,0.29664403,0.28789514,0.1780822,0.24498396,0.08449147,0.65753424,0.20377198,0.5964743,0.3920408,0.56085074,0.20547946,0.5733223,0.71279526,0.02830055,0.15639134,0.29581776,0.15076493
671KHUMPV,0.16587047,0.22014831,0.17115012,0.3491434,0.08577265,0.02970297,0.09998455,0.0649427,0.6732673,0.047553156,0.18055718,0.08680866,0.3309089,0.02970297,0.3129048,0.36283955,0.05187178,0.11093924,0.1157286,0.07796912
7Q64P5QJ2,0.53911465,0.35532627,0.13770789,0.34400752,0.04699157,0.0,0.09676342,0.01110271,0.5070422,0.0143107725,0.13126758,0.16938964,0.35048878,0.0,0.42740205,0.43445036,0.059140556,0.14448772,0.26249388,0.107138254
BKDM1737J,0.3187912,0.14076854,0.45189008,0.37275273,0.1226529,0.16304348,0.34795094,0.068426155,0.5,0.09134494,0.446396,0.23370245,0.4380543,0.18478261,0.49214894,0.6087357,0.111561984,0.082795866,0.45095038,0.11333556
CSUEVJGQ7,0.6359487,0.5681193,0.12906513,0.3182797,0.087321706,0.0,0.107111245,0.022265302,0.13333334,0.04206231,0.29318917,0.18209754,0.47494003,0.022222223,0.39386886,0.48693293,0.04603503,0.121380225,0.21408145,0.2571384
CU44ROTB1,0.5070236,0.21921939,0.67529815,0.3722343,0.07053002,0.058139537,0.12004625,0.09404975,0.12790698,0.034440055,0.31574973,0.20613801,0.26113486,0.3139535,0.61432356,0.43784034,0.30263394,0.2464837,0.5736459,0.05866463
DRJ77DEME,0.4604697,0.36649916,0.6980858,0.31199235,0.08173336,0.3043478,0.17709875,0.22632466,0.7246377,0.04289462,0.37256482,0.12718149,0.2765089,0.5072464,0.6229844,0.52430725,0.056753077,0.21666735,0.36750054,0.122773215
FNAI80QXX,0.22388901,0.14984293,0.1448768,0.27294844,0.09570211,0.08,0.14528422,0.058635864,0.76,0.09726787,0.43024182,0.06168048,0.30461287,0.1,0.48473832,0.5913853,0.08398124,0.1897043,0.6788057,0.094151184
