Pregunta(X),AU(Y),a,b,t,p
q1,AU01,0.2349,0.0346,1.1911,0.241618
q1,AU02,0.1931,0.0196,0.735,0.46722
q1,AU04,0.3285,-0.0003,-0.0075,0.994052
q1,AU05,0.4085,-0.0145,-1.0311,0.309557
q1,AU06,0.1549,-0.0083,-0.5638,0.576454
q1,AU07,0.2035,-0.0346,-1.9038,0.065186
q1,AU09,0.1732,-0.0051,-0.3382,0.737269
q1,AU10,0.1138,-0.003,-0.1279,0.898992
q1,AU11,0.7136,-0.0403,-0.8088,0.424116
q1,AU12,0.1446,-0.0142,-0.7824,0.439259
q1,AU14,0.3615,0.0015,0.0521,0.958756
q1,AU15,0.1123,0.0244,1.2009,0.237867
q1,AU17,0.3649,0.0093,0.6,0.552383
q1,AU20,0.5639,-0.0842,-1.3432,0.187853
q1,AU23,0.4687,0.0085,0.3916,0.697694
q1,AU24,0.4234,0.0307,1.1109,0.274177
q1,AU25,0.3178,-0.0532,-1.9089,0.064506
q1,AU26,0.137,0.0114,0.4929,0.625149
q1,AU28,0.3327,-0.0026,-0.0737,0.941693
q1,AU43,0.0526,0.0147,1.1833,0.244658
q2,AU01,0.3683,0.0006,0.0243,0.980775
q2,AU02,0.309,-0.0101,-0.4832,0.631929
q2,AU04,0.214,0.0291,0.9157,0.366088
q2,AU05,0.4222,-0.0181,-1.6946,0.099027
q2,AU06,0.1075,0.0038,0.3329,0.741221
q2,AU07,0.0387,0.0075,0.5038,0.617573
q2,AU09,0.0886,0.0166,1.4428,0.157974
q2,AU10,-0.0107,0.0289,1.6227,0.113637
q2,AU11,0.6735,-0.0303,-0.7803,0.44045
q2,AU12,0.0551,0.0087,0.6138,0.543319
q2,AU14,0.2755,0.0236,1.0648,0.29426
q2,AU15,0.1277,0.0207,1.3093,0.198963
q2,AU17,0.4063,-0.0013,-0.1041,0.917703
q2,AU20,0.3082,-0.0191,-0.3816,0.705056
q2,AU23,0.5185,-0.0043,-0.2518,0.802685
q2,AU24,0.5185,0.0065,0.2954,0.769418
q2,AU25,0.121,-0.003,-0.1333,0.894746
q2,AU26,0.146,0.0092,0.5106,0.612842
q2,AU28,0.3705,-0.0123,-0.4493,0.656017
q2,AU43,0.0483,0.016,1.6765,0.102553
q3,AU01,0.3111,0.0169,0.83,0.412175
q3,AU02,0.3025,-0.0093,-0.5016,0.619089
q3,AU04,0.3367,-0.0027,-0.0931,0.926394
q3,AU05,0.4332,-0.0232,-2.548,0.015381
q3,AU06,0.1591,-0.0104,-1.0317,0.3093
q3,AU07,0.1459,-0.0222,-1.7482,0.089198
q3,AU09,0.1596,-0.0019,-0.1758,0.861453
q3,AU10,0.0781,0.0068,0.4118,0.683016
q3,AU11,0.5652,-0.0027,-0.0773,0.938817
q3,AU12,0.1065,-0.005,-0.3951,0.695147
q3,AU14,0.3555,0.0034,0.169,0.866808
q3,AU15,0.1881,0.0057,0.3967,0.694016
q3,AU17,0.4316,-0.0086,-0.8044,0.426588
q3,AU20,0.49,-0.0729,-1.6995,0.098104
q3,AU23,0.4988,0.0009,0.0589,0.953365
q3,AU24,0.4641,0.0226,1.1839,0.244439
q3,AU25,0.2083,-0.0282,-1.4274,0.162318
q3,AU26,0.1603,0.0061,0.3785,0.707324
q3,AU28,0.2524,0.02,0.8209,0.417266
q3,AU43,0.0598,0.0144,1.699,0.098191
q4,AU01,0.3134,0.0145,0.6817,0.499885
q4,AU02,0.3474,-0.0197,-1.0338,0.30833
q4,AU04,0.4449,-0.0298,-1.0156,0.316796
q4,AU05,0.4756,-0.0314,-3.5644,0.001077
